geonameid,city,country,lat,lon,hub_score,city_key,rent_score_city,rent_score_country,rent_source_used,rent_score_used,rent_n,labour_n,tax_n,fixed_mult,fixed_cost_hub,fixed_cost_dc,hub_score_n,fixed_cost_hub_eff,fixed_cost_dc_eff
323777,Antalya,TR,36.90812,30.69556,0.0275593716416013,antalya,-0.5945519051748873,-0.7333530118949918,city,-0.5945519051748873,0.12404714824889189,0.03455723542116631,0.5971769815418023,1.1310896708057065,1131.0896708057066,6786.538024834239,0.0361451086974942,1127.0013348959183,6774.273017104873
2747891,Rotterdam,NL,51.9225,4.47917,0.2473160485956913,rotterdam,,,global,0.011844032802657226,0.48382676042477507,0.6954643628509719,0.6261310170104958,1.5932941071751356,1593.2941071751357,9559.764643050814,0.3243639069633961,1541.6133970206274,9404.722512587288
314830,Gaziantep,TR,37.05944,37.3825,0.0099766002399202,gaziantep,-0.6859475885303848,-0.7333530118949918,city,-0.6859475885303848,0.06982135046096478,0.03455723542116631,0.5971769815418023,1.1066880618011394,1106.6880618011394,6640.128370806837,0.01308467060834664,1105.2399969256537,6635.784176180379
306571,Konya,TR,37.87135,32.48464,0.0154248892468787,konya,-0.6944208679956051,-0.7333530118949918,city,-0.6944208679956051,0.06479408525529365,0.03455723542116631,0.5971769815418023,1.1044257924585874,1104.4257924585875,6626.554754751524,0.020230297908303305,1102.1915061786824,6619.851895911809
3093133,Łódź,PL,51.77058,19.47395,0.0790746810934676,odz,,-0.5038056844768821,country,-0.5038056844768821,0.17788761459179875,0.2613390928725702,0.38002171552660147,1.2356541899116262,1235.6541899116262,7413.925139469758,0.10370929281379679,1222.839307691812,7375.480492810316
2911298,Hamburg,DE,53.55073,9.99302,0.2697589921627494,hamburg,0.620363671166472,0.23969633179056107,city,0.620363671166472,0.8448663812080682,0.673866090712743,0.26511038726022434,1.7099406510903874,1709.9406510903873,10259.643906542324,0.35379863592864297,1649.443184102916,10078.151505579908
316541,Diyarbakır,TR,37.91363,40.21721,0.0026035975112045,diyarbak r,,-0.7333530118949918,country,-0.7333530118949918,0.041695329547903476,0.03455723542116631,0.5971769815418023,1.0940313523902618,1094.0313523902619,6564.188114341571,0.0034147119270656954,1093.657772199503,6563.067373769294
304531,Mersin,TR,36.81196,34.63886,0.0149351418522961,mersin,-0.7358565624138741,-0.7333530118949918,city,-0.7358565624138741,0.040209952786063166,0.03455723542116631,0.5971769815418023,1.0933629328474337,1093.3629328474337,6560.177597084602,0.019587976557812813,1091.221256097654,6553.752566835263
750269,Bursa,TR,40.19559,29.06013,0.0166902853844646,bursa,-0.44329768026242816,-0.7333530118949918,city,-0.44329768026242816,0.2137875026458297,0.03455723542116631,0.5971769815418023,1.1714728302843285,1171.4728302843284,7028.836981705971,0.021889910526952043,1168.9084867403606,7021.143951074067
304922,Malatya,TR,38.35018,38.31667,0.0,malatya,-0.8036290298093237,-0.7333530118949918,city,-0.8036290298093237,0.0,0.03455723542116631,0.5971769815418023,1.0752684540937052,1075.2684540937053,6451.610724562232,0.0,1075.2684540937053,6451.610724562232
315368,Erzurum,TR,39.90861,41.27694,0.0020350899485485,erzurum,-0.7846116078851637,-0.7333530118949918,city,-0.7846116078851637,0.011283190166608264,0.03455723542116631,0.5971769815418023,1.0803458896686788,1080.3458896686789,6482.075338012073,0.0026690937789171382,1080.0575352193596,6481.210274664115
3191281,Sarajevo,BA,43.84864,18.35644,0.0166782355310227,sarajevo,-0.4240714012580953,-0.5819941085397204,city,-0.4240714012580953,0.22519460940652894,0.05831533477321814,0.054288816503800214,1.1330083565312663,1133.0083565312664,6798.050139187598,0.021874106710083125,1130.5300019618483,6790.615075479343
3088171,Poznań,PL,52.40692,16.92993,0.0800653534946728,poznan,-0.3921997153949985,-0.5038056844768821,city,-0.3921997153949985,0.24410433828344166,0.2613390928725702,0.38002171552660147,1.2654517155728655,1265.4517155728654,7592.710293437193,0.10500859535562675,1252.163384858598,7552.845301294391
298117,Van,TR,38.49457,43.38323,0.0022387960053497,van,-0.7750183822925271,-0.7333530118949918,city,-0.7750183822925271,0.016974928463447548,0.03455723542116631,0.5971769815418023,1.0829071719022565,1082.9071719022566,6497.443031413539,0.0029362616106503835,1082.5892020265812,6496.489121786512
